compound,modelseed,bigg
Maltoheptaose,cpd15494,malthp
Gly-Leu,cpd15604,glyleu
Gly-Phe,cpd15605,glyphe
heptadecanoate (C17:0),cpd15609,hpdca
3mop;(S)-3-Methyl-2-oxopentanoate,cpd00508,3mop
Phenylethylamine;Phenethylamine,cpd03161,peamn
Taurocholate;Taurocholic acid,cpd03047,tchola
Cholate;Cholic acid,cpd00526,cholate
Chenodeoxycholate;Chenodiol,cpd01663,C02528
Deoxycholate;Deoxycholic acid,cpd02733,dchac
Agmatine,cpd00152,agm
