,0,0.1,0.1.1,0.1.1.1,0
23CN2P2,0.99934465,0.9995505,0.99668497,0.9990854,0.99895525
23CN2P3,0.99934465,0.9995505,0.99668497,0.9990854,0.99895525
23CN2P4,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
23CTI1,0.000118049924,0.010777204,0.0017399804,0.0003956314,3.8424765e-05
23CTI2,0.0006571534,0.00034406784,0.0003145117,0.00017017491,0.0003392783
23CTI3,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
23DK5MPPISO,0.010020616,0.002819482,0.0017915623,0.00042135795,0.00694247
23DOGULNt4pp,0.03211961,0.028878935,0.00033132063,0.042746756,0.014948167
23dhbt4pp,0.99932766,0.99932337,0.997022,0.9986613,0.9994721
23dhbtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
24DECOAR,0.9978514,0.9993186,0.9992324,0.99937207,0.99784374
24NPHte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
24_25DHVITD2t,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
24_25DHVITD3t,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
25DKGLCNt2rpp,0.99896705,0.9988912,0.99426466,0.9973207,0.9990602
25DKGLCNtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
25HVITD2t,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
25HVITD2tin,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
25HVITD3c,0.9995185,0.9996044,0.99952304,0.999708,0.99977
25HVITD3t,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
25HVITD3tin,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
26DPAi,0.99785966,0.9995011,0.9987987,0.9989924,0.9990392
2A4H6ET,0.99898535,0.99874663,0.9946572,0.9991386,0.99471337
2AACLPGT160,0.8726765,0.97187954,0.92834467,0.88960946,0.35572544
2AACLPGT161,0.9136105,0.98233896,0.9715858,0.961293,0.6064033
2AACLPGT180,0.2961774,0.74511886,0.6944011,0.06783498,0.4081848
2AACLPGT181,0.80074584,0.8990066,0.70064557,0.6464451,0.5723831
2AACLPPEAT160,0.8991496,0.9853655,0.94827074,0.88096565,0.4389755
2AACLPPEAT161,0.9301601,0.98482126,0.9724388,0.96672875,0.59477174
2AACLPPEAT180,0.43161106,0.7932329,0.7775512,0.060338516,0.41694707
2AACLPPEAT181,0.7618876,0.9203517,0.6999648,0.6359543,0.57044333
2ACLMM,0.0061216815,0.00023448278,0.0009687011,7.465555e-05,0.0014338667
2AMACHYD,0.9997919,0.9998634,0.999863,0.99987173,0.9996588
2AMACSULT,6.8150024e-05,7.303262e-05,0.00035419618,0.00011053221,0.0002251603
2DDARAA,0.3171991,0.93679273,0.97779536,0.89004886,0.91885746
2DGLCptspp,0.9921143,0.99675316,0.99322575,0.9926965,0.9966883
2DGLCtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2DGULRGx,0.9986533,0.99974996,0.9992205,0.9993864,0.9993969
2DGULRGy,0.9986933,0.99962735,0.9994954,0.99957913,0.99871993
2DGULRx,0.9983708,0.9996555,0.99901116,0.9992092,0.9992661
2DGULRy,0.9984205,0.9994967,0.9993906,0.99949276,0.99833786
2DHGLCK,0.999298,0.9997204,0.9986885,0.9996152,0.99942124
2DHPACCOAH,0.9988153,0.99839574,0.99376786,0.998988,0.99400854
2DHPFALDL,0.9993025,0.9991905,0.9984302,0.9960913,0.81939346
2DOXG6PP,0.9990964,0.9994802,0.99616337,0.9988482,0.99493694
2DR1PP,0.99958616,0.9998265,0.9983217,0.99965,0.99778324
2H3MBDH,0.99850935,0.999584,0.9988532,0.9990828,0.99916077
2H3MBt,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2H3MPDH,0.9969177,0.9992849,0.9985207,0.9986964,0.9987676
2H3MPt,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2H3MVc,0.9969177,0.9992849,0.9985207,0.9986964,0.9987676
2H3MVte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HATVACIDGLUCteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
2HATVACIDhc,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
2HATVACIDteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
2HATVACIDtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HATVACIDthc,8.544593e-05,1.1965361e-05,5.127613e-05,4.2738626e-05,2.4485595e-05
2HATVLACGLUCteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
2HATVLAChc,0.9991146,0.99972564,0.9996505,0.9980684,0.9962573
2HATVLACteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
2HATVLACtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HATVLACthc,8.544593e-05,1.1965361e-05,5.127613e-05,4.2738626e-05,2.4485595e-05
2HBO,0.9977124,0.99948466,0.9987942,0.9990152,0.99917775
2HBt2,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2HCO3_NAt,0.9979425,0.9980768,0.99851304,0.9962733,0.99749506
2HESR,0.00040314396,0.0024597498,0.001199273,0.0012096046,0.0012876727
2HIBUPGLUC_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HIBUP_Rthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HIBUP_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HIVc,0.99850935,0.999584,0.9988532,0.9990828,0.99916077
2HIVte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HPTCOAT,0.99645966,0.999141,0.9919193,0.9968207,0.98627603
2HXICDH,0.9972404,0.9994375,0.99865353,0.9987803,0.99890065
2HXICt,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2HYDOGOAT3t,0.00017500929,0.00014525036,0.0002231796,1.0482932e-05,8.164426e-05
2HYDOGte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2HYOXPLCte,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2INSD,0.9987205,0.99862576,0.99393785,0.99895656,0.9937383
2M3HBUte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2M3HVACc,0.99682295,0.9992322,0.99837804,0.9984841,0.9986304
2M3HVACte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2MACPT,0.81851816,0.64750814,0.87770814,0.92726576,0.8048619
2MBACt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2MBALDH,0.9992975,0.99968636,0.99936765,0.99967086,0.9996793
2MBALDt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2MBAt6,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2MBTOHt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2MCITt,0.013688634,0.0008081144,0.00051085476,0.00019236392,0.000103432
2MPAt6,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
2MPCAC,0.8185182,0.64750826,0.87770814,0.92726576,0.8048617
2MPCTF,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
2MPPALt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2OBUT_Et,2.5768551e-05,0.00022283579,0.00072198274,6.363933e-05,0.007411109
2OBUTt,0.9988607,0.9996842,0.99860483,0.9978654,0.99871147
2OBUTt2ipp,0.9991486,0.9991498,0.996418,0.9981786,0.9993648
2OBUTtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2OH3K5MPPISO,0.9990964,0.9994802,0.99616337,0.9988482,0.99493694
2OXOADPt,0.00017500929,0.00014525036,0.0002231796,1.0482932e-05,8.164426e-05
2PGK,0.99911076,0.9996903,0.99852955,0.99956006,0.9994147
2PGt6,0.9988121,0.9997193,0.998616,0.9981792,0.99876994
2PGtr,0.9884692,0.99826616,0.88001245,0.061493516,0.085294135
2PHACTE,0.99645966,0.999141,0.9919193,0.9968207,0.98627603
2PHETOHt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
2PLS,0.7479913,0.88866574,0.63410205,0.88656765,0.89062095
