,predicted_scores,similarity_scores
FAO10,0.9999157439999999,0.9966534913490154
NTP3e_1,0.9999154459999999,0.9128947337812107
FAO11,0.9999144300000001,0.9956507532941515
FEROc,0.999914102,0.8810626087947111
ALR,0.9999128159999999,0.8618546545162169
ATPADT,0.999911644,0.6666666666666667
NADHHS,0.9999115980000001,0.4999348010341851
NADHHR,0.9999115980000001,0.49993480103418486
NADDPp_1,0.999911468,0.7071528813125028
NADPHXD,0.9999100719999999,0.5250184311622608
ACOAM,0.999908956,0.6761095507751673
FHL,0.999907014,0.6859943405700353
SUCOAACTr,0.9999062420000001,0.5
NADHPO,0.9999059079999999,0.8249698623598103
NTPP8_1,0.999905572,0.8944505146550815
ACS_1,0.999905222,0.9258373440632619
PPK2,0.99990404,1.0
ASP4DC,0.9999039439999999,0.75
SO3R,0.9999036400000001,0.952580940426825
GLY3Pt2,0.999903134,0.6620870758628552
CYTBD2,0.999902234,0.9095890304247899
CITMS,0.999902086,0.6666666666666667
MMS,0.999902086,0.6666666666666667
NDP3,0.999901472,0.6761095507752052
NH4t3pp,0.999900982,0.7071067811865475
NH4tpp_1,0.999900982,0.7071067811865475
NAD_H2,0.9999006859999999,0.8488811979765339
FRDx,0.999900534,0.7027493975588895
PSP_L_1,0.9999004520000001,0.8944505146551022
PUTA3,0.999898374,0.8571385490901438
LDH_L,0.9998979139999999,0.7999895692083796
NH4t_1,0.999896962,0.7071067811865475
NH4t3r,0.999896962,0.7071067811865475
HMR_7197,0.9998965639999999,0.5773753621017819
SERHL,0.9998965639999999,0.5773753621017829
METt3pp,0.9998964039999999,0.6737221598223753
G3PD1ir,0.999895916,0.702749397558904
DOPDH,0.999895604,0.8618546545162062
HAMR,0.9998954379999999,0.9047594269460697
GMPS,0.999893932,0.8215671721230758
CBMKr2,0.999892586,0.9525931442135374
GLCGSD,0.999891964,0.7071375136019845
GTPHL,0.9998911720000001,0.577375362101755
BGLA,0.9998911300000002,0.8333333333333335
CYTDK1_1,0.999889946,0.8944505146551512
POX2,0.9998898180000001,0.6190341598105251
AMETt2,0.9998884180000001,0.6620870758628552
PSP_1,0.9998880080000001,0.7499674012257126
TRNFE,0.9998866920000001,0.8058205081776514
FORMCOAL,0.9998864220000001,0.6666666666666667
UDPRHMS_c,0.999885406,0.7911570975008941
ADPGLC,0.9998842019999999,0.7499674012257177
ACYP_2,0.9998841799999999,0.6761095507751678
ACYP_3,0.9998841799999999,0.755907824883292
PEPt6,0.9998839900000001,0.6620870758628552
NADK1,0.99988393,0.5999791384167044
FACOAL140,0.999882872,0.7216878364870323
G3PCT_2,0.999882562,0.7070432392604413
PHNACH,0.9998820719999999,0.7069654022425799
UGP_PGM_c,0.999881434,0.7999895692082916
GSEALD,0.9998804380000001,0.8618546545162157
FACOAL160,0.999880228,0.7216878364870323
FISC,0.999879824,0.7855664286200736
GLCt2,0.999879748,0.6620870758628552
GLCt2_2,0.999879748,0.8374812676349257
ASPSALy,0.9998793879999999,0.8618546545162074
ALDD14,0.9998791819999999,0.8571385490901453
LAAL23,0.999878932,0.5962701087544264
GTPCII_1,0.999878928,0.907492172829263
GTPCII,0.999878928,0.9411755683038318
GLYGS,0.99987879,0.5999791384165761
CELLS,0.99987879,0.7589321248799993
DESAT16a,0.999878274,0.7679837609060491
UCPP,0.9998775139999999,0.5
MLTG6,0.999877472,0.8165084093258846
LMN2,0.999877472,0.8333333333333335
MLTG7,0.999877472,0.8333333333333335
13BGH,0.999877472,0.7071375136019857
GLS2,0.999877472,0.8814089405208615
GLS,0.999877472,0.8807048459279794
UTPH1,0.9998768119999999,0.8081145095462483
PPIuabcpp,0.999876062,0.8451479579217535
PPIabc,0.999876062,0.8451479579217535
UTCY,0.9998759859999999,0.5999791384167018
AKO,0.9998753239999999,0.5000000000000001
FE2DMT1,0.9998751459999999,0.6620870758628552
H2O2syn,0.99987514,0.7159782094997527
ALDD16,0.999875114,0.8571385490901449
NADS2,0.999874696,0.777771339166725
FAH2,0.9998743400000001,0.8099270316110682
ADHEr,0.9998726019999999,0.8432813724381045
PYRt2rpp,0.99987251,0.673722159822375
FCOAH,0.999872098,0.8990063865095297
FCOAH2,0.999872098,0.6527413160114564
ATPATF2,0.9998716200000001,0.5656559216379824
P4AH,0.9998705300000001,0.6761095507751422
DALAOX,0.999870402,0.6666666666666667
GLYTA,0.9998703000000001,0.5000072433849909
